temp,vector_name_str,accuracy,f1
0.1,c,0.7125,0.6989036164293896
0.1,c,0.6304347826086957,0.6231021394064872
0.1,c,0.7432432432432432,0.7406061523708583
0.1,c,0.6049382716049383,0.5878054925673973
0.1,c,0.3614457831325301,0.27508263141059813
0.1,c,0.38666666666666666,0.30915750915750917
0.1,c,0.8860759493670886,0.8850431265023576
0.1,c,0.5402298850574713,0.532717301479979
0.1,c,0.6419753086419753,0.5869529660379335
0.1,c,0.575,0.5054545454545455
0.1,c,0.4567901234567901,0.43028785588309393
0.1,c,0.41333333333333333,0.33919413919413915
0.1,c,0.8918918918918919,0.8904320674763286
0.1,c,0.8170731707317073,0.8143305149543998
0.1,c,0.7272727272727273,0.7273647871116226
0.1,c,0.6756756756756757,0.666023166023166
0.1,c,0.7571428571428571,0.7581855886905978
0.1,c,0.4634146341463415,0.4634146341463415
0.1,c,0.6785714285714286,0.6750392464678179
0.1,c,0.6867469879518072,0.6754508944870391
0.1,f,0.7733333333333333,0.7727687837276879
0.1,f,0.46987951807228917,0.4037897622234971
0.1,f,0.37037037037037035,0.35236682086642807
0.1,f,0.5121951219512195,0.4618660472319009
0.1,f,0.4691358024691358,0.3522572834937929
0.1,f,0.6071428571428571,0.5750716396028167
0.1,f,0.4805194805194805,0.3857714612431593
0.1,f,0.475,0.3220338983050847
0.1,f,0.7590361445783133,0.7590361445783133
0.1,f,0.46835443037974683,0.3149279790484505
0.1,f,0.4935064935064935,0.4724799010513296
0.1,f,0.35802469135802467,0.2668911335578002
0.1,f,0.6385542168674698,0.6217221828490433
0.1,f,0.6629213483146067,0.6444411590774689
0.1,f,0.6046511627906976,0.600783619817998
0.1,f,0.4,0.24489795918367346
0.1,f,0.6538461538461539,0.653675438485565
0.1,f,0.7790697674418605,0.7762878868326462
0.1,f,0.6875,0.6643732169827152
0.1,f,0.5294117647058824,0.4470588235294118
0.1,cf,0.5609756097560976,0.4472283813747228
0.1,cf,0.5555555555555556,0.48174603174603176
0.1,cf,0.4666666666666667,0.3992673992673993
0.1,cf,0.3815789473684211,0.3207221427514428
0.1,cf,0.5975609756097561,0.5915271328996798
0.1,cf,0.42857142857142855,0.4288955514139859
0.1,cf,0.7093023255813954,0.709027155368964
0.1,cf,0.5135135135135135,0.45348232848232845
0.1,cf,0.7435897435897436,0.7425755962341328
0.1,cf,0.4936708860759494,0.36648295076009935
0.1,cf,0.6588235294117647,0.6354250528606691
0.1,cf,0.6511627906976745,0.6405082605493002
0.1,cf,0.6385542168674698,0.6287912755463632
0.1,cf,0.5769230769230769,0.5758784425451093
0.1,cf,0.4,0.3939393939393939
0.1,cf,0.5526315789473685,0.526697177726926
0.1,cf,0.7631578947368421,0.7618310482087572
0.1,cf,0.5921052631578947,0.5802038252128996
0.1,cf,0.6625,0.6624472573839661
0.1,cf,0.34177215189873417,0.2655883731833099
0.1,b,1.0,1.0
0.1,b,0.975,0.9749843652282676
0.1,b,0.9857142857142858,0.9857409658198204
0.1,b,0.7407407407407407,0.7247500706354789
0.1,b,0.9882352941176471,0.9882254751949467
0.1,b,0.9746835443037974,0.9746754300551769
0.1,b,0.7471264367816092,0.723147047166072
0.1,b,0.7435897435897436,0.7275641025641025
0.1,b,0.9882352941176471,0.9882418219056246
0.1,b,0.9875,0.9874980465697766
0.1,b,0.7631578947368421,0.7550837320574162
